Name,Type,Power,Toughness,Mana Cost,Colors,Text,Quantity,Standard Legal
Goldvein Hydra,Creature — Hydra,,,{X}{G},G,"Vigilance, trample, haste
This creature enters with X +1/+1 counters on it.
When this creature dies, create a number of tapped Treasure tokens equal to its power.",1,True
Hardbristle Bandit,Creature — Plant Rogue,1.0,1.0,{1}{G},G,"{T}: Add one mana of any color.
Whenever you commit a crime, untap this creature. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",2,True
Intrepid Stablemaster,Creature — Human Scout,2.0,2.0,{1}{G},G,"Reach
{T}: Add {G}.
{T}: Add two mana of any one color. Spend this mana only to cast Mount or Vehicle spells.",2,True
Map the Frontier,Sorcery,,,{3}{G},G,"Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.",2,True
Ornery Tumblewagg,Creature — Brushwagg Mount,2.0,2.0,{2}{G},G,"At the beginning of combat on your turn, put a +1/+1 counter on target creature.
Whenever this creature attacks while saddled, double the number of +1/+1 counters on target creature.
Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",2,True
Outcaster Greenblade,Creature — Human Mercenary,1.0,2.0,{2}{G},G,"When this creature enters, search your library for a basic land card or a Desert card, reveal it, put it into your hand, then shuffle.
This creature gets +1/+1 for each Desert you control.",2,True
Outcaster Trailblazer,Creature — Human Druid,4.0,2.0,{2}{G},G,"When this creature enters, add one mana of any color.
Whenever another creature you control with power 4 or greater enters, draw a card.
Plot {2}{G} (You may pay {2}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",1,True
Railway Brawler,Creature — Rhino Warrior,5.0,5.0,{3}{G}{G},G,"Reach, trample
Whenever another creature you control enters, put X +1/+1 counters on it, where X is its power.
Plot {3}{G} (You may pay {3}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",2,True
Rambling Possum,Creature — Possum Mount,3.0,3.0,{2}{G},G,"Whenever this creature attacks while saddled, it gets +1/+2 until end of turn. Then you may return any number of creatures that saddled it this turn to their owner's hand.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",1,True
Raucous Entertainer,Creature — Plant Bard,2.0,2.0,{1}{G},G,"{1}, {T}: Put a +1/+1 counter on each creature you control that entered this turn.",1,True
Reach for the Sky,Enchantment — Aura,,,{3}{G},G,"Flash
Enchant creature
Enchanted creature gets +3/+2 and has reach.
When this Aura is put into a graveyard from the battlefield, draw a card.",2,True
Snakeskin Veil,Instant,,,{G},G,Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),8,True
Spinewoods Armadillo,Creature — Armadillo,7.0,7.0,{4}{G}{G},G,"Reach
Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
{1}{G}, Discard this card: Search your library for a basic land card or a Desert card, reveal it, put it into your hand, then shuffle. You gain 3 life.",1,True
Throw from the Saddle,Sorcery,,,{1}{G},G,Target creature you control gets +1/+1 until end of turn. Put a +1/+1 counter on it instead if it's a Mount. Then it deals damage equal to its power to target creature you don't control.,2,True
Honest Rutstein,Legendary Creature — Human Warlock,3.0,2.0,{1}{B}{G},"B,G","When Honest Rutstein enters, return target creature card from your graveyard to your hand.
Creature spells you cast cost {1} less to cast.",2,True
"Vraska, the Silencer",Legendary Creature — Gorgon Assassin,3.0,3.0,{1}{B}{G},"B,G","Deathtouch
Whenever a nontoken creature an opponent controls dies, you may pay {1}. If you do, return that card to the battlefield tapped under your control. It's a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color,"" and it loses all other card types.",1,True
Festering Gulch,Land — Desert,,,,"B,G","This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {B} or {G}.",1,True
Blooming Marsh,Land,,,,"B,G","This land enters tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",2,True
Bristlebud Farmer,Creature — Plant Druid,5.0,5.0,{2}{G}{G},G,"Trample
When this creature enters, create two Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever this creature attacks, you may sacrifice a Food. If you do, mill three cards. You may put a permanent card from among them into your hand.",1,True
Agate-Blade Assassin,Creature — Lizard Assassin,1.0,3.0,{1}{B},B,"Whenever this creature attacks, defending player loses 1 life and you gain 1 life.",3,True
Bandit's Talent,Enchantment — Class,,,{1}{B},B,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, each opponent discards two cards unless they discard a nonland card.
{B}: Level 2
At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, they lose 2 life.
{3}{B}: Level 3
At the beginning of your draw step, draw an additional card for each opponent who has one or fewer cards in hand.",1,True
Bonebind Orator,Creature — Squirrel Warlock Bard,2.0,2.0,{1}{B},B,"{3}{B}, Exile this card from your graveyard: Return another target creature card from your graveyard to your hand.",1,True
Daggerfang Duo,Creature — Rat Squirrel,3.0,2.0,{2}{B},B,"Deathtouch
When this creature enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",2,True
Early Winter,Instant,,,{4}{B},B,"Choose one —
• Exile target creature.
• Target opponent exiles an enchantment they control.",1,True
Feed the Cycle,Instant,,,{1}{B},B,"As an additional cost to cast this spell, forage or pay {B}. (To forage, exile three cards from your graveyard or sacrifice a Food.)
Destroy target creature or planeswalker.",1,True
Hazel's Nocturne,Instant,,,{3}{B},B,Return up to two target creature cards from your graveyard to your hand. Each opponent loses 2 life and you gain 2 life.,1,True
Nocturnal Hunger,Instant,,,{2}{B},B,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Destroy target creature. If the gift wasn't promised, you lose 2 life.",3,True
Psychic Whorl,Sorcery,,,{2}{B},B,"Target opponent discards two cards. Then if you control a Rat, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",2,True
Ruthless Negotiation,Sorcery,,,{B},B,"Target opponent exiles a card from their hand. If this spell was cast from a graveyard, draw a card.
Flashback {4}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1,True
Savor,Instant,,,{1}{B},B,"Target creature gets -2/-2 until end of turn. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",2,True
Scavenger's Talent,Enchantment — Class,,,{B},B,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more creatures you control die, create a Food token. This ability triggers only once each turn.
{1}{B}: Level 2
Whenever you sacrifice a permanent, target player mills two cards.
{2}{B}: Level 3
At the beginning of your end step, you may sacrifice three other nonland permanents. If you do, return a creature card from your graveyard to the battlefield with a finality counter on it.",2,True
Starlit Soothsayer,Creature — Bat Cleric,2.0,2.0,{2}{B},B,"Flying
At the beginning of your end step, if you gained or lost life this turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",1,True
Starscape Cleric,Creature — Bat Cleric,2.0,1.0,{1}{B},B,"Offspring {2}{B} (You may pay an additional {2}{B} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
This creature can't block.
Whenever you gain life, each opponent loses 1 life.",2,True
Thornplate Intimidator,Creature — Rat Rogue,4.0,3.0,{3}{B},B,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, target opponent loses 3 life unless they sacrifice a nonland permanent of their choice or discard a card.",1,True
Thought-Stalker Warlock,Creature — Lizard Warlock,2.0,2.0,{2}{B},B,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, choose target opponent. If they lost life this turn, they reveal their hand, you choose a nonland card from it, and they discard that card. Otherwise, they discard a card.",1,True
Valley Rotcaller,Creature — Squirrel Warlock,1.0,3.0,{1}{B},B,"Menace
Whenever this creature attacks, each opponent loses X life and you gain X life, where X is the number of other Squirrels, Bats, Lizards, and Rats you control.",1,True
Bakersbane Duo,Creature — Squirrel Raccoon,2.0,2.0,{1}{G},G,"When this creature enters, create a Food token.
Whenever you expend 4, this creature gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",3,True
Bark-Knuckle Boxer,Creature — Raccoon Berserker,3.0,2.0,{1}{G},G,"Whenever you expend 4, this creature gains indestructible until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",1,True
Clifftop Lookout,Creature — Frog Scout,1.0,2.0,{2}{G},G,"Reach
When this creature enters, reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield tapped and the rest on the bottom of your library in a random order.",2,True
Druid of the Spade,Creature — Rabbit Druid,2.0,3.0,{2}{G},G,"As long as you control a token, this creature gets +2/+0 and has trample.",4,True
Fecund Greenshell,Creature — Elemental Turtle,4.0,6.0,{3}{G}{G},G,"Reach
As long as you control ten or more lands, creatures you control get +2/+2.
Whenever this creature or another creature you control with toughness greater than its power enters, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped. Otherwise, put it into your hand.",1,True
High Stride,Instant,,,{G},G,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,1,True
Hunter's Talent,Enchantment — Class,,,{1}{G},G,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, target creature you control deals damage equal to its power to target creature you don't control.
{1}{G}: Level 2
Whenever you attack, target attacking creature gets +1/+0 and gains trample until end of turn.
{3}{G}: Level 3
At the beginning of your end step, if you control a creature with power 4 or greater, draw a card.",2,True
Innkeeper's Talent,Enchantment — Class,,,{1}{G},G,"(Gain the next level as a sorcery to add its ability.)
At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
{G}: Level 2
Permanents you control with counters on them have ward {1}.
{3}{G}: Level 3
If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead.",2,True
Pawpatch Recruit,Creature — Rabbit Warrior,2.0,1.0,{G},G,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Trample
Whenever a creature you control becomes the target of a spell or ability an opponent controls, put a +1/+1 counter on target creature you control other than that creature.",2,True
Rust-Shield Rampager,Creature — Raccoon Warrior,4.0,4.0,{3}{G},G,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
This creature can't be blocked by creatures with power 2 or less.",2,True
Stickytongue Sentinel,Creature — Frog Warrior,3.0,3.0,{2}{G},G,"Reach
When this creature enters, return up to one other target permanent you control to its owner's hand.",1,True
Stocking the Pantry,Enchantment,,,{G},G,"Whenever you put one or more +1/+1 counters on a creature you control, put a supply counter on this enchantment.
{2}, Remove a supply counter from this enchantment: Draw a card.",4,True
Sunshower Druid,Creature — Frog Druid,,2.0,{G},G,"When this creature enters, put a +1/+1 counter on target creature and you gain 1 life.",1,True
Thornvault Forager,Creature — Squirrel Ranger,2.0,2.0,{1}{G},G,"{T}: Add {G}.
{T}, Forage: Add two mana in any combination of colors. (To forage, exile three cards from your graveyard or sacrifice a Food.)
{3}{G}, {T}: Search your library for a Squirrel card, reveal it, put it into your hand, then shuffle.",1,True
Three Tree Scribe,Creature — Frog Druid,2.0,3.0,{1}{G},G,"Whenever this creature or another creature you control leaves the battlefield without dying, put a +1/+1 counter on target creature you control.",1,True
Treeguard Duo,Creature — Frog Rabbit,3.0,4.0,{3}{G},G,"When this creature enters, until end of turn, target creature you control gains vigilance and gets +X/+X, where X is the number of creatures you control.",3,True
Treetop Sentries,Creature — Squirrel Archer,2.0,4.0,{3}{G},G,"Reach
When this creature enters, you may forage. If you do, draw a card. (To forage, exile three cards from your graveyard or sacrifice a Food.)",1,True
Corpseberry Cultivator,Creature — Squirrel Warlock,2.0,3.0,{1}{B/G}{B/G},"B,G","At the beginning of combat on your turn, you may forage. (Exile three cards from your graveyard or sacrifice a Food.)
Whenever you forage, put a +1/+1 counter on this creature.",1,True
"Ygra, Eater of All",Legendary Creature — Elemental Cat,6.0,6.0,{3}{B}{G},"B,G","Ward—Sacrifice a Food.
Other creatures are Food artifacts in addition to their other types and have ""{2}, {T}, Sacrifice this permanent: You gain 3 life.""
Whenever a Food is put into a graveyard from the battlefield, put two +1/+1 counters on Ygra.",1,True
Mudflat Village,Land,,,,B,"{T}: Add {C}.
{T}: Add {B}. Spend this mana only to cast a creature spell.
{1}{B}, {T}, Sacrifice this land: Return target Bat, Lizard, Rat, or Squirrel card from your graveyard to your hand.",2,True
Colossification,Enchantment — Aura,,,{5}{G}{G},G,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature gets +20/+20.",1,True
Appendage Amalgam,Enchantment Creature — Horror,3.0,2.0,{2}{B},B,"Flash
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",2,True
Balemurk Leech,Creature — Leech,2.0,2.0,{1}{B},B,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, each opponent loses 1 life.",1,True
Cackling Slasher,Creature — Human Assassin,3.0,3.0,{3}{B},B,"Deathtouch
This creature enters with a +1/+1 counter on it if a creature died this turn.",1,True
Cracked Skull,Enchantment — Aura,,,{2}{B},B,"Enchant creature
When this Aura enters, look at target player's hand. You may choose a nonland card from it. That player discards that card.
When enchanted creature is dealt damage, destroy it.",2,True
Enduring Tenacity,Enchantment Creature — Snake Glimmer,4.0,3.0,{2}{B}{B},B,"Whenever you gain life, target opponent loses that much life.
When Enduring Tenacity dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",1,True
Fanatic of the Harrowing,Creature — Human Cleric,2.0,2.0,{3}{B},B,"When this creature enters, each player discards a card. If you discarded a card this way, draw a card.",1,True
Fear of Lost Teeth,Enchantment Creature — Nightmare,1.0,1.0,{B},B,"When this creature dies, it deals 1 damage to any target and you gain 1 life.",1,True
Final Vengeance,Sorcery,,,{B},B,"As an additional cost to cast this spell, sacrifice a creature or enchantment.
Exile target creature.",1,True
Funeral Room // Awakening Hall,Enchantment — Room,,,{6}{B}{B},B,"When you unlock this door, return all creature cards from your graveyard to the battlefield.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",1,True
Give In to Violence,Instant,,,{1}{B},B,Target creature gets +2/+2 and gains lifelink until end of turn.,1,True
Innocuous Rat,Creature — Rat,1.0,1.0,{1}{B},B,"When this creature dies, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",2,True
Let's Play a Game,Sorcery,,,{3}{B},B,"Delirium — Choose one. If there are four or more card types among cards in your graveyard, choose one or more instead.
• Creatures your opponents control get -1/-1 until end of turn.
• Each opponent discards two cards.
• Each opponent loses 3 life and you gain 3 life.",1,True
Live or Die,Instant,,,{3}{B}{B},B,"Choose one —
• Return target creature card from your graveyard to the battlefield.
• Destroy target creature.",1,True
Miasma Demon,Creature — Demon,5.0,4.0,{4}{B}{B},B,"Flying
When this creature enters, you may discard any number of cards. When you do, up to that many target creatures each get -2/-2 until end of turn.",1,True
Overlord of the Balemurk,Enchantment Creature — Avatar Horror,5.0,5.0,{3}{B}{B},B,"Impending 5—{1}{B} (If you cast this spell for its impending cost, it enters with five time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.)
Whenever this permanent enters or attacks, mill four cards, then you may return a non-Avatar creature card or a planeswalker card from your graveyard to your hand.",1,True
Unholy Annex // Ritual Chamber,Enchantment — Room,,,{3}{B}{B},B,"When you unlock this door, create a 6/6 black Demon creature token with flying.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",1,True
"Valgavoth, Terror Eater",Legendary Creature — Elder Demon,9.0,9.0,{6}{B}{B}{B},B,"Flying, lifelink
Ward—Sacrifice three nonland permanents.
If a card you didn't control would be put into an opponent's graveyard from anywhere, exile it instead.
During your turn, you may play cards exiled with Valgavoth. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost.",1,True
Vile Mutilator,Creature — Demon,6.0,5.0,{5}{B}{B},B,"As an additional cost to cast this spell, sacrifice a creature or enchantment.
Flying, trample
When this creature enters, each opponent sacrifices a nontoken enchantment of their choice, then sacrifices a nontoken creature of their choice.",1,True
Winter's Intervention,Instant,,,{1}{B},B,Winter's Intervention deals 2 damage to target creature. You gain 2 life.,1,True
"Altanak, the Thrice-Called",Legendary Creature — Insect Beast,9.0,9.0,{5}{G}{G},G,"Trample
Whenever Altanak becomes the target of a spell or ability an opponent controls, draw a card.
{1}{G}, Discard this card: Return target land card from your graveyard to the battlefield tapped.",3,True
Balustrade Wurm,Creature — Wurm,5.0,5.0,{3}{G}{G},G,"This spell can't be countered.
Trample, haste
Delirium — {2}{G}{G}: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only if there are four or more card types among cards in your graveyard and only as a sorcery.",1,True
Enduring Vitality,Enchantment Creature — Elk Glimmer,3.0,3.0,{1}{G}{G},G,"Vigilance
Creatures you control have ""{T}: Add one mana of any color.""
When Enduring Vitality dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",2,True
Grasping Longneck,Enchantment Creature — Horror,4.0,2.0,{2}{G},G,"Reach
When this creature dies, you gain 2 life.",1,True
Hauntwoods Shrieker,Creature — Beast Mutant,3.0,3.0,{1}{G}{G},G,"Whenever this creature attacks, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
{1}{G}: Reveal target face-down permanent. If it's a creature card, you may turn it face up.",1,True
Horrid Vigor,Instant,,,{1}{G},G,Target creature gains deathtouch and indestructible until end of turn.,1,True
Insidious Fungus,Creature — Fungus,1.0,2.0,{G},G,"{2}, Sacrifice this creature: Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Draw a card. Then you may put a land card from your hand onto the battlefield tapped.",4,True
Manifest Dread,Sorcery,,,{1}{G},G,Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.),2,True
Moldering Gym // Weight Room,Enchantment — Room,,,{5}{G},G,"When you unlock this door, manifest dread, then put three +1/+1 counters on that creature.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",4,True
Overgrown Zealot,Creature — Elf Druid,,4.0,{1}{G},G,"{T}: Add one mana of any color.
{T}: Add two mana of any one color. Spend this mana only to turn permanents face up.",1,True
Patchwork Beastie,Artifact Creature — Beast,3.0,3.0,{G},G,"Delirium — This creature can't attack or block unless there are four or more card types among cards in your graveyard.
At the beginning of your upkeep, you may mill a card. (You may put the top card of your library into your graveyard.)",1,True
Rootwise Survivor,Creature — Human Survivor,3.0,4.0,{3}{G}{G},G,"Haste
Survival — At the beginning of your second main phase, if this creature is tapped, put three +1/+1 counters on up to one target land you control. That land becomes a 0/0 Elemental creature in addition to its other types. It gains haste until your next turn.",1,True
Slavering Branchsnapper,Creature — Lizard,7.0,6.0,{4}{G}{G},G,"Trample
Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)",1,True
Spineseeker Centipede,Creature — Insect,2.0,1.0,{2}{G},G,"When this creature enters, search your library for a basic land card, reveal it, put it into your hand, then shuffle.
Delirium — This creature gets +1/+2 and has vigilance as long as there are four or more card types among cards in your graveyard.",1,True
Broodspinner,Creature — Spider,2.0,3.0,{B}{G},"B,G","Reach
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{4}{B}{G}, {T}, Sacrifice this creature: Create a number of 1/1 black and green Insect creature tokens with flying equal to the number of card types among cards in your graveyard.",2,True
Drag to the Roots,Instant,,,{2}{B}{G},"B,G","Delirium — This spell costs {2} less to cast as long as there are four or more card types among cards in your graveyard.
Destroy target nonland permanent.",1,True
The Swarmweaver,Legendary Artifact Creature — Scarecrow,2.0,3.0,{2}{B}{G},"B,G","When The Swarmweaver enters, create two 1/1 black and green Insect creature tokens with flying.
Delirium — As long as there are four or more card types among cards in your graveyard, Insects and Spiders you control get +1/+1 and have deathtouch.",1,True
Strangled Cemetery,Land,,,,"B,G","This land enters tapped unless a player has 13 or less life.
{T}: Add {B} or {G}.",1,True
Cemetery Recruitment,Sorcery,,,{1}{B},B,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card.",2,True
Deadly Plot,Instant,,,{3}{B},B,"Choose one —
• Destroy target creature or planeswalker.
• Return target Zombie creature card from your graveyard to the battlefield tapped.",2,True
Death Baron,Creature — Zombie Wizard,2.0,2.0,{1}{B}{B},B,Skeletons you control and other Zombies you control get +1/+1 and have deathtouch. (Any amount of damage they deal to a creature is enough to destroy it.),1,True
Moment of Craving,Instant,,,{1}{B},B,Target creature gets -2/-2 until end of turn. You gain 2 life.,4,True
Offer Immortality,Instant,,,{1}{B},B,"Target creature gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",1,True
Undying Malice,Instant,,,{B},B,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",4,True
Vampire Interloper,Creature — Vampire Scout,2.0,1.0,{1}{B},B,"Flying
This creature can't block.",3,True
Bear Cub,Creature — Bear,2.0,2.0,{1}{G},G,,2,True
Biogenic Upgrade,Sorcery,,,{4}{G}{G},G,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures.",1,True
Druid of the Cowl,Creature — Elf Druid,1.0,3.0,{1}{G},G,{T}: Add {G}.,4,True
Thornweald Archer,Creature — Elf Archer,2.0,1.0,{1}{G},G,"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)",3,True
Abyssal Harvester,Creature — Demon Warlock,3.0,2.0,{1}{B}{B},B,"{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.",1,True
Arbiter of Woe,Creature — Demon,5.0,4.0,{4}{B}{B},B,"As an additional cost to cast this spell, sacrifice a creature.
Flying
When this creature enters, each opponent discards a card and loses 2 life. You draw a card and gain 2 life.",3,True
Billowing Shriekmass,Creature — Spirit,2.0,3.0,{3}{B},B,"Flying
When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
Threshold — This creature gets +2/+1 as long as there are seven or more cards in your graveyard.",2,True
Bloodthirsty Conqueror,Creature — Vampire Knight,5.0,5.0,{3}{B}{B},B,"Flying, deathtouch
Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)",3,True
Crypt Feaster,Creature — Zombie,3.0,4.0,{3}{B},B,"Menace (This creature can't be blocked except by two or more creatures.)
Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn.",4,True
Gutless Plunderer,Creature — Skeleton Pirate,2.0,2.0,{2}{B},B,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — When this creature enters, if you attacked this turn, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the rest into your graveyard.",3,True
High-Society Hunter,Creature — Vampire Noble,5.0,3.0,{3}{B}{B},B,"Flying
Whenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature.
Whenever another nontoken creature dies, draw a card.",2,True
Hungry Ghoul,Creature — Zombie,2.0,2.0,{1}{B},B,"{1}, Sacrifice another creature: Put a +1/+1 counter on this creature.",3,True
Infernal Vessel,Creature — Human Cleric,2.0,1.0,{2}{B},B,"When this creature dies, if it wasn't a Demon, return it to the battlefield under its owner's control with two +1/+1 counters on it. It's a Demon in addition to its other types.",3,True
Infestation Sage,Creature — Elf Warlock,1.0,1.0,{B},B,"When this creature dies, create a 1/1 black and green Insect creature token with flying.",4,True
Midnight Snack,Enchantment,,,{2}{B},B,"Raid — At the beginning of your end step, if you attacked this turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}{B}, Sacrifice this enchantment: Target opponent loses X life, where X is the amount of life you gained this turn.",1,True
Nine-Lives Familiar,Creature — Cat,1.0,1.0,{1}{B}{B},B,"This creature enters with eight revival counters on it if you cast it.
When this creature dies, if it had a revival counter on it, return it to the battlefield with one fewer revival counter on it at the beginning of the next end step.",1,True
Revenge of the Rats,Sorcery,,,{2}{B}{B},B,"Create a tapped 1/1 black Rat creature token for each creature card in your graveyard.
Flashback {2}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1,True
Sanguine Syphoner,Creature — Vampire Warlock,1.0,3.0,{1}{B},B,"Whenever this creature attacks, each opponent loses 1 life and you gain 1 life.",4,True
Soul-Shackled Zombie,Creature — Zombie,4.0,2.0,{3}{B},B,"When this creature enters, exile up to two target cards from a single graveyard. If at least one creature card was exiled this way, each opponent loses 2 life and you gain 2 life.",3,True
Stab,Instant,,,{B},B,Target creature gets -2/-2 until end of turn.,4,True
Tragic Banshee,Creature — Spirit,5.0,3.0,{4}{B},B,"Morbid — When this creature enters, target creature an opponent controls gets -1/-1 until end of turn. If a creature died this turn, that creature gets -13/-13 until end of turn instead.",4,True
Vampire Gourmand,Creature — Vampire,2.0,2.0,{1}{B},B,"Whenever this creature attacks, you may sacrifice another creature. If you do, draw a card and this creature can't be blocked this turn.",3,True
Vampire Soulcaller,Creature — Vampire Warlock,3.0,2.0,{4}{B},B,"Flying
This creature can't block.
When this creature enters, return target creature card from your graveyard to your hand.",1,True
Vengeful Bloodwitch,Creature — Vampire Warlock,1.0,1.0,{1}{B},B,"Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life.",3,True
"Zul Ashur, Lich Lord",Legendary Creature — Zombie Warlock,2.0,2.0,{1}{B},B,"Ward—Pay 2 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2 life.)
{T}: You may cast target Zombie creature card from your graveyard this turn.",1,True
Ambush Wolf,Creature — Wolf,4.0,2.0,{2}{G},G,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, exile up to one target card from a graveyard.",4,True
Apothecary Stomper,Creature — Elephant,4.0,4.0,{4}{G}{G},G,"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, choose one —
• Put two +1/+1 counters on target creature you control.
• You gain 4 life.",2,True
Beast-Kin Ranger,Creature — Elf Ranger,3.0,3.0,{2}{G},G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever another creature you control enters, this creature gets +1/+0 until end of turn.",4,True
Cackling Prowler,Creature — Hyena Rogue,4.0,3.0,{3}{G},G,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.",3,True
Eager Trufflesnout,Creature — Boar,4.0,2.0,{2}{G},G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",2,True
Elfsworn Giant,Creature — Giant,5.0,3.0,{3}{G}{G},G,"Reach (This creature can block creatures with flying.)
Landfall — Whenever a land you control enters, create a 1/1 green Elf Warrior creature token.",4,True
Elvish Regrower,Creature — Elf Druid,4.0,3.0,{2}{G}{G},G,"When this creature enters, return target permanent card from your graveyard to your hand.",1,True
Felling Blow,Sorcery,,,{2}{G},G,Put a +1/+1 counter on target creature you control. Then that creature deals damage equal to its power to target creature an opponent controls.,4,True
