Name,Colors,Set,Rarity,Type,Owned Qty
Cut Down,B,,uncommon,Instant,1
Eerie Soultender,B,,common,Creature — Spirit Cleric,1
Gibbering Barricade,B,,common,Creature — Nightmare Wall,2
Monstrous War-Leech,"B,U",,uncommon,Creature — Leech Horror,1
Phyrexian Vivisector,B,,common,Creature — Phyrexian Human,2
Pilfer,B,,uncommon,Sorcery,3
The Raven Man,B,,rare,Legendary Creature — Human Wizard,1
Sengir Connoisseur,B,,uncommon,Creature — Vampire,2
Shadow Prophecy,B,,common,Instant,1
"Sheoldred, the Apocalypse",B,,mythic,Legendary Creature — Phyrexian Praetor,1
Stronghold Arena,"B,G,W",,rare,Enchantment,1
Tribute to Urborg,"B,U",,common,Instant,2
Urborg Repossession,"B,G",,common,Sorcery,3
Electrostatic Infantry,R,,uncommon,Creature — Dwarf Wizard,4
Flowstone Infusion,R,,common,Instant,1
Ghitu Amplifier,"R,U",,common,Creature — Human Wizard,2
Goblin Picker,R,,common,Creature — Goblin,1
Hurloon Battle Hymn,"R,W",,uncommon,Instant,2
Jaya's Firenado,R,,common,Sorcery,2
Meria's Outrider,R,,common,Creature — Elf Archer,1
A-Meria's Outrider,R,,common,Creature — Elf Archer,1
Molten Monstrosity,R,,common,Creature — Hellion,1
Phoenix Chick,R,,uncommon,Creature — Phoenix,4
Smash to Dust,R,,common,Sorcery,2
Sprouting Goblin,"G,R",,uncommon,Creature — Goblin Druid,2
A-Sprouting Goblin,"G,R",,uncommon,Creature — Goblin Druid,2
Twinferno,R,,uncommon,Instant,2
Viashino Branchrider,"G,R",,common,Creature — Lizard Warrior,3
Warhost's Frenzy,"B,R",,uncommon,Instant,2
Yavimaya Steelcrusher,R,,common,Creature — Ape Warrior,2
Yotia Declares War,R,,uncommon,Enchantment — Saga,4
Bite Down,G,,common,Instant,3
Colossal Growth,"G,R",,common,Instant,2
Defiler of Vigor,G,,rare,Creature — Phyrexian Wurm,1
Linebreaker Baloth,G,,uncommon,Creature — Beast,1
A-Llanowar Loamspeaker,G,,rare,Creature — Elf Druid,1
Magnigoth Sentry,G,,common,Creature — Treefolk,2
Quirion Beastcaller,G,,rare,Creature — Dryad Warrior,1
Strength of the Coalition,"G,W",,uncommon,Instant,2
Threats Undetected,G,,rare,Sorcery,1
"Astor, Bearer of Blades","R,W",,rare,Legendary Creature — Human Warrior,1
"Baird, Argivian Recruiter","R,W",,uncommon,Legendary Creature — Human Soldier,2
"Balmor, Battlemage Captain","R,U",,uncommon,Legendary Creature — Bird Wizard,4
"Elas il-Kor, Sadistic Pilgrim","B,W",,uncommon,Legendary Creature — Phyrexian Kor Cleric,1
"Garna, Bloodfist of Keld","B,R",,uncommon,Legendary Creature — Human Berserker,2
"Ivy, Gleeful Spellthief","G,U",,rare,Legendary Creature — Faerie Rogue,1
"Najal, the Storm Runner","R,U",,uncommon,Legendary Creature — Efreet Wizard,1
"Raff, Weatherlight Stalwart","U,W",,uncommon,Legendary Creature — Human Wizard,1
"Rona, Sheoldred's Faithful","B,U",,uncommon,Legendary Creature — Human Wizard,2
"Vohar, Vodalian Desecrator","B,U",,uncommon,Legendary Creature — Phyrexian Merfolk Wizard,2
Crystal Grotto,,,common,Land,2
Opt,U,,common,Instant,4
Vodalian Arcanist,U,,common,Creature — Merfolk Wizard,1
Rat Colony,B,,common,Creature — Rat,1
Ghitu Lavarunner,R,,common,Creature — Human Wizard,4
Run Amok,R,,common,Instant,4
Grow from the Ashes,G,,common,Sorcery,3
Skittering Surveyor,,,common,Artifact Creature — Construct,2
Midnight Reaper,B,,rare,Creature — Zombie Knight,1
Corpse Knight,"B,W",,uncommon,Creature — Zombie Knight,1
Extravagant Replication,U,,rare,Enchantment,2
Thirst for Meaning,U,,common,Instant,1
Massacre Wurm,B,,mythic,Creature — Phyrexian Wurm,1
"Syr Konrad, the Grim",B,,uncommon,Legendary Creature — Human Knight,1
Scute Swarm,G,,rare,Creature — Insect,1
"Shigeki, Jukai Visionary",G,,rare,Legendary Enchantment Creature — Snake Druid,2
Spirit-Sister's Call,"B,W",,mythic,Enchantment,2
Blackcleave Cliffs,"B,R",,rare,Land,1
Acrobatic Cheerleader,W,,common,Creature — Human Survivor,1
Cult Healer,W,,common,Creature — Human Doctor,1
Emerge from the Cocoon,W,,common,Sorcery,1
Enduring Innocence,W,,rare,Enchantment Creature — Sheep Glimmer,2
Ethereal Armor,W,,uncommon,Enchantment — Aura,1
Fear of Abduction,W,,uncommon,Enchantment Creature — Nightmare,2
Fear of Surveillance,W,,common,Enchantment Creature — Nightmare,2
Friendly Ghost,W,,common,Creature — Spirit,1
Grand Entryway // Elegant Rotunda,W,,common,Enchantment — Room,3
Leyline of Hope,W,,rare,Enchantment,1
Living Phone,W,,common,Artifact Creature — Toy,2
Overlord of the Mistmoors,W,,mythic,Enchantment Creature — Avatar Horror,1
Possessed Goat,W,,common,Creature — Goat,1
Sheltered by Ghosts,W,,uncommon,Enchantment — Aura,1
Shepherding Spirits,W,,common,Creature — Spirit,1
Unsettling Twins,W,,common,Creature — Human,1
The Wandering Rescuer,W,,mythic,Legendary Creature — Human Samurai Noble,1
Abhorrent Oculus,U,,mythic,Creature — Eye,2
Bottomless Pool // Locker Room,U,,uncommon,Enchantment — Room,1
Clammy Prowler,U,,common,Enchantment Creature — Horror,2
Enduring Curiosity,U,,rare,Enchantment Creature — Cat Glimmer,1
Enter the Enigma,U,,common,Sorcery,2
Erratic Apparition,U,,common,Creature — Spirit,1
Fear of Falling,U,,uncommon,Enchantment Creature — Nightmare,1
Floodpits Drowner,U,,uncommon,Creature — Merfolk,1
Meat Locker // Drowned Diner,U,,common,Enchantment — Room,1
The Mindskinner,U,,rare,Legendary Enchantment Creature — Nightmare,1
Piranha Fly,U,,common,Creature — Fish Insect,3
Scrabbling Skullcrab,U,,uncommon,Creature — Crab Skeleton,1
"Stay Hidden, Stay Silent",U,,uncommon,Enchantment — Aura,3
The Tale of Tamiyo,U,,rare,Legendary Enchantment — Saga,1
Twist Reality,U,,common,Instant,2
Unable to Scream,U,,common,Enchantment — Aura,1
Vanish from Sight,U,,common,Instant,1
Appendage Amalgam,B,,common,Enchantment Creature — Horror,2
Balemurk Leech,B,,common,Creature — Leech,1
Cackling Slasher,B,,common,Creature — Human Assassin,1
Cracked Skull,B,,common,Enchantment — Aura,2
Enduring Tenacity,B,,rare,Enchantment Creature — Snake Glimmer,1
Fanatic of the Harrowing,B,,common,Creature — Human Cleric,1
Fear of Lost Teeth,B,,common,Enchantment Creature — Nightmare,1
Fear of the Dark,B,,common,Enchantment Creature — Nightmare,1
Final Vengeance,B,,common,Sorcery,1
Funeral Room // Awakening Hall,B,,mythic,Enchantment — Room,1
Give In to Violence,B,,common,Instant,2
Innocuous Rat,B,,common,Creature — Rat,2
Let's Play a Game,B,,uncommon,Sorcery,1
Live or Die,B,,uncommon,Instant,1
Miasma Demon,B,,uncommon,Creature — Demon,2
Overlord of the Balemurk,B,,mythic,Enchantment Creature — Avatar Horror,1
Unholy Annex // Ritual Chamber,B,,rare,Enchantment — Room,1
"Valgavoth, Terror Eater",B,,mythic,Legendary Creature — Elder Demon,1
Vile Mutilator,B,,uncommon,Creature — Demon,1
Winter's Intervention,B,,common,Instant,2
Betrayer's Bargain,R,,uncommon,Instant,1
Charred Foyer // Warped Space,R,,mythic,Enchantment — Room,1
Clockwork Percussionist,R,,common,Artifact Creature — Monkey Toy,3
Enduring Courage,R,,rare,Enchantment Creature — Dog Glimmer,1
Glassworks // Shattered Yard,R,,common,Enchantment — Room,1
Grab the Prize,R,,common,Sorcery,2
Hand That Feeds,R,,common,Creature — Mutant,1
Irreverent Gremlin,R,,uncommon,Creature — Gremlin,2
"Norin, Swift Survivalist",R,,uncommon,Legendary Creature — Human Coward,1
Overlord of the Boilerbilges,R,,mythic,Enchantment Creature — Avatar Horror,1
Ragged Playmate,R,,common,Artifact Creature — Toy,1
Rampaging Soulrager,R,,common,Creature — Spirit,3
Razorkin Needlehead,R,,rare,Creature — Human Assassin,1
Ticket Booth // Tunnel of Hate,R,,common,Enchantment — Room,2
Trial of Agony,R,,uncommon,Sorcery,1
Vicious Clown,R,,common,Creature — Human Clown,1
Violent Urge,R,,uncommon,Instant,1
"Altanak, the Thrice-Called",G,,uncommon,Legendary Creature — Insect Beast,3
Anthropede,G,,common,Creature — Insect,1
Balustrade Wurm,G,,rare,Creature — Wurm,1
Enduring Vitality,G,,rare,Enchantment Creature — Elk Glimmer,2
Grasping Longneck,G,,common,Enchantment Creature — Horror,1
Hauntwoods Shrieker,G,,mythic,Creature — Beast Mutant,1
Horrid Vigor,G,,common,Instant,1
Insidious Fungus,G,,uncommon,Creature — Fungus,4
Manifest Dread,G,,common,Sorcery,2
Moldering Gym // Weight Room,G,,common,Enchantment — Room,4
Overgrown Zealot,G,,uncommon,Creature — Elf Druid,1
Patchwork Beastie,G,,uncommon,Artifact Creature — Beast,1
Rootwise Survivor,G,,uncommon,Creature — Human Survivor,1
Say Its Name,G,,common,Sorcery,1
Slavering Branchsnapper,G,,common,Creature — Lizard,1
Spineseeker Centipede,G,,common,Creature — Insect,1
"Arabella, Abandoned Doll","R,W",,uncommon,Legendary Artifact Creature — Toy,1
Baseball Bat,"G,W",,uncommon,Artifact — Equipment,3
Broodspinner,"B,G",,uncommon,Creature — Spider,2
Disturbing Mirth,"B,R",,uncommon,Enchantment,1
Drag to the Roots,"B,G",,uncommon,Instant,2
Gremlin Tamer,"U,W",,uncommon,Creature — Human Scout,1
Intruding Soulrager,"R,U",,uncommon,Creature — Spirit,1
The Jolly Balloon Man,"R,W",,rare,Legendary Creature — Human Clown,1
Shrewd Storyteller,"G,W",,uncommon,Creature — Human Survivor,1
The Swarmweaver,"B,G",,rare,Legendary Artifact Creature — Scarecrow,1
"Zimone, All-Questioning","G,U",,rare,Legendary Creature — Human Wizard,1
Bear Trap,,,common,Artifact,1
Conductive Machete,,,uncommon,Artifact — Equipment,1
Found Footage,,,common,Artifact — Clue,2
Friendly Teddy,,,common,Artifact Creature — Bear Toy,1
Haunted Screen,"B,G,R,U,W",,uncommon,Artifact,1
Malevolent Chandelier,,,common,Artifact Creature — Construct,2
Abandoned Campground,"U,W",,common,Land,1
Bleeding Woods,"G,R",,common,Land,1
Etched Cornfield,"G,W",,common,Land,2
Hushwood Verge,"G,W",,rare,Land,1
Lakeside Shack,"G,U",,common,Land,3
Murky Sewer,"B,U",,common,Land,2
Neglected Manor,"B,W",,common,Land,2
Raucous Carnival,"R,W",,common,Land,1
Strangled Cemetery,"B,G",,common,Land,1
Artful Maneuver,W,,common,Instant,1
Impact Tremors,R,,common,Enchantment,1
Magmatic Chasm,R,,common,Sorcery,1
Seismic Rupture,R,,uncommon,Sorcery,3
Aggravated Assault,R,,rare,Enchantment,1
Charming Prince,W,,rare,Creature — Human Noble,1
Glass Casket,W,,uncommon,Artifact,1
"Syr Alin, the Lion's Claw",W,,uncommon,Legendary Creature — Human Knight,1
Bake into a Pie,B,,common,Instant,3
Wildborn Preserver,G,,rare,Creature — Elf Archer,1
Wildwood Tracker,G,,common,Creature — Elf Warrior,1
Gingerbrute,,,common,Artifact Creature — Food Golem,4
Heraldic Banner,,,uncommon,Artifact,1
Castle Garenbrig,G,,rare,Land,1
"Kenrith, the Returned King","B,G,R,U,W",,mythic,Legendary Creature — Human Noble,1
Borrowed Grace,W,,common,Instant,1
Thalia's Lancers,W,,rare,Creature — Human Knight,1
Cemetery Recruitment,B,,common,Sorcery,2
Weirded Vampire,B,,common,Creature — Vampire Horror,1
Smash to Smithereens,R,,rare,Instant,1
Stroke of Midnight,W,,uncommon,Instant,2
Sire of Seven Deaths,,,mythic,Creature — Eldrazi,2
"Arahbo, the First Fang",W,,rare,Legendary Creature — Cat Avatar,1
Armasaur Guide,W,,common,Creature — Dinosaur,4
Cat Collector,W,,uncommon,Creature — Human Citizen,2
Celestial Armor,W,,rare,Artifact — Equipment,1
Claws Out,W,,uncommon,Instant,4
Crystal Barricade,W,,rare,Artifact Creature — Wall,1
Dauntless Veteran,W,,uncommon,Creature — Human Soldier,3
Dazzling Angel,W,,common,Creature — Angel,4
Divine Resilience,W,,uncommon,Instant,3
Exemplar of Light,W,,rare,Creature — Angel,1
Felidar Savior,W,,common,Creature — Cat Beast,4
Fleeting Flight,W,,common,Instant,4
Hare Apparent,W,,common,Creature — Rabbit Noble,4
Helpful Hunter,W,,common,Creature — Cat,4
Herald of Eternal Dawn,W,,mythic,Creature — Angel,2
Inspiring Paladin,W,,common,Creature — Human Knight,3
Joust Through,W,,uncommon,Instant,2
Luminous Rebuke,W,,common,Instant,4
Prideful Parent,W,,common,Creature — Cat,2
Raise the Past,W,,rare,Sorcery,1
Skyknight Squire,W,,rare,Creature — Cat Scout,2
Squad Rallier,W,,common,Creature — Human Scout,1
Sun-Blessed Healer,W,,uncommon,Creature — Human Cleric,3
Twinblade Blessing,W,,uncommon,Enchantment — Aura,2
Valkyrie's Call,W,,mythic,Enchantment,2
Vanguard Seraph,W,,common,Creature — Angel Warrior,4
Arcane Epiphany,U,,uncommon,Instant,2
Archmage of Runes,U,,rare,Creature — Giant Wizard,1
Bigfin Bouncer,U,,common,Creature — Shark Pirate,2
Cephalid Inkmage,U,,uncommon,Creature — Octopus Wizard,1
Curator of Destinies,U,,rare,Creature — Sphinx,1
Drake Hatcher,U,,rare,Creature — Human Wizard,1
Elementalist Adept,U,,common,Creature — Human Wizard,1
Erudite Wizard,U,,common,Creature — Human Wizard,3
Faebloom Trick,U,,uncommon,Instant,3
Grappling Kraken,U,,uncommon,Creature — Kraken,1
High Fae Trickster,U,,rare,Creature — Faerie Wizard,1
Homunculus Horde,U,,rare,Creature — Homunculus,1
Icewind Elemental,U,,common,Creature — Elemental,1
Inspiration from Beyond,U,,uncommon,Sorcery,4
"Kaito, Cunning Infiltrator",U,,mythic,Legendary Planeswalker — Kaito,1
"Kiora, the Rising Tide",U,,rare,Legendary Creature — Merfolk Noble,1
Lunar Insight,U,,rare,Sorcery,1
Mischievous Mystic,U,,uncommon,Creature — Human Wizard,3
Refute,U,,common,Instant,1
Skyship Buccaneer,U,,uncommon,Creature — Human Pirate,2
Strix Lookout,U,,common,Creature — Bird,2
Uncharted Voyage,U,,common,Instant,2
Abyssal Harvester,B,,rare,Creature — Demon Warlock,1
Arbiter of Woe,B,,uncommon,Creature — Demon,3
Billowing Shriekmass,B,,uncommon,Creature — Spirit,2
Bloodthirsty Conqueror,B,,mythic,Creature — Vampire Knight,4
Crypt Feaster,B,,common,Creature — Zombie,4
Gutless Plunderer,B,,common,Creature — Skeleton Pirate,3
High-Society Hunter,B,,rare,Creature — Vampire Noble,2
Hungry Ghoul,B,,common,Creature — Zombie,3
Infernal Vessel,B,,uncommon,Creature — Human Cleric,3
Infestation Sage,B,,common,Creature — Elf Warlock,4
Midnight Snack,B,,uncommon,Enchantment,1
Nine-Lives Familiar,B,,rare,Creature — Cat,1
Revenge of the Rats,B,,uncommon,Sorcery,1
Sanguine Syphoner,B,,common,Creature — Vampire Warlock,4
Soul-Shackled Zombie,B,,common,Creature — Zombie,3
Stab,B,,common,Instant,4
"Tinybones, Bauble Burglar",B,,rare,Legendary Creature — Skeleton Rogue,1
Tragic Banshee,B,,uncommon,Creature — Spirit,4
Vampire Gourmand,B,,uncommon,Creature — Vampire,3
Vampire Soulcaller,B,,common,Creature — Vampire Warlock,1
Vengeful Bloodwitch,B,,uncommon,Creature — Vampire Warlock,3
"Zul Ashur, Lich Lord",B,,rare,Legendary Creature — Zombie Warlock,1
Battlesong Berserker,R,,uncommon,Creature — Human Berserker,2
Bulk Up,R,,uncommon,Instant,2
"Chandra, Flameshaper",R,,mythic,Legendary Planeswalker — Chandra,2
Courageous Goblin,R,,common,Creature — Goblin,4
Crackling Cyclops,R,,common,Creature — Cyclops Wizard,3
Dragon Trainer,R,,uncommon,Creature — Human,1
Fiery Annihilation,R,,uncommon,Instant,4
Goblin Boarders,R,,common,Creature — Goblin Pirate,4
Goblin Negotiation,R,,uncommon,Sorcery,1
Gorehorn Raider,R,,common,Creature — Minotaur Pirate,4
Incinerating Blast,R,,common,Sorcery,3
"Kellan, Planar Trailblazer",R,,rare,Legendary Creature — Human Faerie Scout,2
Rite of the Dragoncaller,R,,mythic,Enchantment,1
Searslicer Goblin,R,,rare,Creature — Goblin Warrior,2
Slumbering Cerberus,R,,uncommon,Creature — Dog,4
Sower of Chaos,R,,common,Creature — Devil,4
Strongbox Raider,R,,uncommon,Creature — Orc Pirate,3
Ambush Wolf,G,,common,Creature — Wolf,4
Apothecary Stomper,G,,common,Creature — Elephant,2
Beast-Kin Ranger,G,,common,Creature — Elf Ranger,4
Cackling Prowler,G,,common,Creature — Hyena Rogue,3
Eager Trufflesnout,G,,uncommon,Creature — Boar,2
Elfsworn Giant,G,,common,Creature — Giant,4
Elvish Regrower,G,,uncommon,Creature — Elf Druid,1
Felling Blow,G,,uncommon,Sorcery,4
"Loot, Exuberant Explorer",G,,rare,Legendary Creature — Beast Noble,2
Mossborn Hydra,G,,rare,Creature — Elemental Hydra,4
Needletooth Pack,G,,uncommon,Creature — Dinosaur,2
Quilled Greatwurm,G,,mythic,Creature — Wurm,2
Spinner of Souls,G,,rare,Creature — Spider Spirit,3
Sylvan Scavenging,G,,rare,Enchantment,1
Treetop Snarespinner,G,,common,Creature — Spider,3
"Alesha, Who Laughs at Fate","B,R",,rare,Legendary Creature — Human Warrior,1
Anthem of Champions,"G,W",,rare,Enchantment,1
Ashroot Animist,"G,R",,rare,Creature — Lizard Druid,1
Dreadwing Scavenger,"B,U",,uncommon,Creature — Nightmare Bird,4
"Elenda, Saint of Dusk","B,W",,rare,Legendary Creature — Vampire Knight,1
Fiendish Panda,"B,W",,uncommon,Creature — Bear Demon,2
"Koma, World-Eater","G,U",,rare,Legendary Creature — Serpent,2
"Niv-Mizzet, Visionary","R,U",,mythic,Legendary Creature — Dragon Wizard,3
Perforating Artist,"B,R",,uncommon,Creature — Devil,4
Wardens of the Cycle,"B,G",,uncommon,Creature — Elf Warlock,4
"Zimone, Paradox Sculptor","G,U",,mythic,Legendary Creature — Human Wizard,1
Leyline Axe,,,rare,Artifact — Equipment,2
Quick-Draw Katana,,,common,Artifact — Equipment,4
Ravenous Amulet,,,uncommon,Artifact,2
Soulstone Sanctuary,,,rare,Land,1
Authority of the Consuls,W,,rare,Enchantment,2
"Giada, Font of Hope",W,,rare,Legendary Creature — Angel,1
Healer's Hawk,W,,common,Creature — Bird,4
Make Your Move,W,,common,Instant,4
Youthful Valkyrie,W,,uncommon,Creature — Angel,2
Aegis Turtle,U,,common,Creature — Turtle,3
Brineborn Cutthroat,U,,uncommon,Creature — Merfolk Pirate,2
Mocking Sprite,U,,common,Creature — Faerie Rogue,2
Self-Reflection,U,,uncommon,Sorcery,1
Spectral Sailor,U,,uncommon,Creature — Spirit Pirate,2
Witness Protection,U,,common,Enchantment — Aura,2
Burglar Rat,B,,common,Creature — Rat,4
Fake Your Own Death,B,,common,Instant,2
"Liliana, Dreadhorde General",B,,mythic,Legendary Planeswalker — Liliana,1
Marauding Blight-Priest,B,,common,Creature — Vampire Cleric,3
Rise of the Dark Realms,B,,mythic,Sorcery,1
Axgard Cavalry,R,,common,Creature — Dwarf Berserker,4
Brazen Scourge,R,,uncommon,Creature — Gremlin,1
Burst Lightning,R,,common,Instant,4
Fanatical Firebrand,R,,common,Creature — Goblin Pirate,4
Firespitter Whelp,R,,uncommon,Creature — Dragon,3
Flamewake Phoenix,R,,rare,Creature — Phoenix,1
Goblin Surprise,R,,common,Instant,3
Heartfire Immolator,R,,uncommon,Creature — Human Wizard,3
Involuntary Employment,R,,common,Sorcery,2
Slagstorm,R,,rare,Sorcery,1
Spitfire Lagac,R,,common,Creature — Lizard,2
Gnarlid Colony,G,,common,Creature — Beast,4
Mild-Mannered Librarian,G,,uncommon,Creature — Human,4
Nessian Hornbeetle,G,,uncommon,Creature — Insect,4
Vivien Reid,G,,mythic,Legendary Planeswalker — Vivien,1
Wary Thespian,G,,common,Creature — Cat Druid,4
Empyrean Eagle,"U,W",,uncommon,Creature — Bird Spirit,3
Good-Fortune Unicorn,"G,W",,uncommon,Creature — Unicorn,4
"Lathril, Blade of the Elves","B,G",,rare,Legendary Creature — Elf Noble,2
"Ruby, Daring Tracker","G,R",,uncommon,Legendary Creature — Human Scout,2
Adventuring Gear,,,uncommon,Artifact — Equipment,2
Campus Guide,,,common,Artifact Creature — Golem,4
Goldvein Pick,,,common,Artifact — Equipment,3
Elspeth's Smite,W,,uncommon,Instant,2
Ingenious Leonin,W,,uncommon,Creature — Cat Soldier,1
Leonin Vanguard,W,,uncommon,Creature — Cat Soldier,3
Moment of Triumph,W,,common,Instant,2
Twinblade Paladin,W,,uncommon,Creature — Human Knight,2
Burrog Befuddler,U,,common,Creature — Frog Wizard,3
Exclusion Mage,U,,uncommon,Creature — Human Wizard,3
Quick Study,U,,common,Instant,2
Starlight Snare,U,,common,Enchantment — Aura,2
Deadly Plot,B,,uncommon,Instant,2
Highborn Vampire,B,,common,Creature — Vampire Warrior,1
Moment of Craving,B,,common,Instant,4
Offer Immortality,B,,common,Instant,1
Bear Cub,G,,common,Creature — Bear,2
Thrashing Brontodon,G,,uncommon,Creature — Dinosaur,1
Angelic Destiny,W,,mythic,Enchantment — Aura,1
Dawnwing Marshal,W,,uncommon,Creature — Cat Soldier,3
Release the Dogs,W,,uncommon,Sorcery,2
Dive Down,U,,common,Instant,3
Nullpriest of Oblivion,B,,rare,Creature — Vampire Cleric,1
Sanguine Indulgence,B,,common,Sorcery,1
Circuitous Route,G,,uncommon,Sorcery,2
Springbloom Druid,G,,common,Creature — Elf Druid,1
Venom Connoisseur,G,,uncommon,Creature — Human Druid,4
"Ayli, Eternal Pilgrim","B,W",,rare,Legendary Creature — Kor Cleric,1
Immersturm Predator,"B,R",,rare,Creature — Vampire Dragon,1
"Ovika, Enigma Goliath","R,U",,rare,Legendary Creature — Phyrexian Nightmare,1
Teach by Example,"R,U",,uncommon,Instant,1
Crawling Barrens,,,rare,Land,1
Hinterland Sanctifier,W,,common,Creature — Rabbit Cleric,2
Archmage Emeritus,U,,rare,Creature — Human Wizard,1
Professional Face-Breaker,R,,rare,Creature — Human Warrior,2
Pressure Point,W,,common,Instant,1
Gurmag Angler,B,,common,Creature — Zombie Fish,1
Touch the Spirit Realm,W,,rare,Enchantment,4
Legion Loyalist,R,,rare,Creature — Goblin Soldier,1
Grasp of Darkness,B,,uncommon,Instant,1
Village Rites,B,,common,Instant,1
Hunted Witness,W,,common,Creature — Human,1
Dead Weight,B,,common,Enchantment — Aura,1
"Ambergris, Citadel Agent",R,,uncommon,Legendary Creature — Dwarf Cleric,1
Flaming Fist Duskguard,W,,common,Creature — Dwarf Soldier,1
Sune's Intervention,W,,rare,Instant,1
Valiant Farewell,W,,common,Instant,1
Hypnotic Pattern,U,,common,Instant,1
Incessant Provocation,R,,common,Sorcery,2
A-Sigil of Myrkul,B,,uncommon,Enchantment,1
A-Earthquake Dragon,G,,rare,Creature — Elemental Dragon,1
Valiant Rescuer,W,,uncommon,Creature — Human Soldier,1
Will of the All-Hunter,W,,uncommon,Instant,1
Glimmerbell,U,,common,Creature — Elemental Jellyfish,1
Startling Development,U,,common,Instant,1
Blitz Leech,B,,common,Creature — Leech,1
Gloom Pangolin,B,,common,Creature — Nightmare Pangolin,1
Mythos of Nethroi,"B,G,W",,rare,Instant,1
Unbreakable Bond,B,,uncommon,Sorcery,1
Blisterspit Gremlin,R,,common,Creature — Gremlin,1
Drannith Stinger,R,,common,Creature — Human Wizard,1
Everquill Phoenix,R,,rare,Creature — Phoenix,1
Forbidden Friendship,R,,common,Sorcery,1
Rumbling Rockslide,R,,common,Sorcery,2
Fully Grown,G,,common,Instant,1
Mosscoat Goriak,G,,common,Creature — Beast,1
Sudden Spinnerets,G,,common,Instant,1
Thwart the Enemy,G,,common,Instant,1
Wilt,G,,common,Instant,1
Back for More,"B,G",,uncommon,Instant,1
Genesis Ultimatum,"G,R,U",,rare,Sorcery,1
"Lutri, the Spellchaser","R,U",,rare,Legendary Creature — Elemental Otter,1
Sonorous Howlbonder,"B,R",,uncommon,Creature — Human Warrior,1
"Yorion, Sky Nomad","U,W",,rare,Legendary Creature — Bird Serpent,1
The Ozolith,,,rare,Legendary Artifact,1
Invisible Stalker,U,,uncommon,Creature — Human Rogue,1
Traitorous Blood,R,,common,Sorcery,1
Temporal Manipulation,U,,rare,Sorcery,1
Reckless Ringleader,R,,common,Creature — Goblin Rogue,2
Etherium Spinner,U,,common,Artifact Creature — Human Wizard,2
Manic Scribe,U,,uncommon,Creature — Human Wizard,1
Moonblade Shinobi,U,,common,Creature — Human Ninja,1
Azra Smokeshaper,B,,common,Creature — Azra Ninja,1
Insolent Neonate,R,,common,Creature — Vampire,1
Goblin Anarchomancer,"G,R",,common,Creature — Goblin Shaman,1
Creeping Bloodsucker,B,,common,Creature — Vampire,1
Hydra's Growth,G,,uncommon,Enchantment — Aura,2
Imperial Recovery Unit,W,,uncommon,Artifact — Vehicle,2
Kitsune Ace,W,,common,Creature — Fox Pilot,1
Spectral Steel,W,,uncommon,Enchantment — Aura,1
Elite Instructor,U,,common,Creature — Human Wizard,1
Frostpeak Yeti,U,,common,Snow Creature — Yeti,1
Library Larcenist,U,,common,Creature — Merfolk Rogue,1
Littjara Kinseekers,U,,common,Creature — Shapeshifter,1
Undersea Invader,U,,common,Creature — Giant Rogue,1
Wavebreak Hippocamp,U,,rare,Enchantment Creature — Horse Fish,1
Karfell Kennel-Master,B,,common,Creature — Zombie Berserker,2
Goldhound,R,,common,Artifact Creature — Treasure Dog,2
Sokenzan Smelter,R,,uncommon,Creature — Goblin Artificer,4
Drowsing Tyrannodon,G,,common,Creature — Dinosaur,1
Master's Rebuke,G,,common,Instant,4
Scale the Heights,G,,common,Sorcery,1
Thaumaturge's Familiar,,,common,Artifact Creature — Bird,1
Scythecat Cub,G,,rare,Creature — Cat,1
Kodama of the West Tree,G,,mythic,Legendary Creature — Spirit,1
Run Ashore,U,,common,Instant,1
Golden-Tail Disciple,W,,common,Enchantment Creature — Fox Monk,1
Hexgold Hoverwings,W,,uncommon,Artifact — Equipment,2
Light the Way,W,,common,Instant,2
Mirran Bardiche,W,,common,Artifact — Equipment,1
Revitalize,W,,common,Instant,1
Speakeasy Server,W,,common,Creature — Bird Citizen,1
Frost Trickster,U,,common,Creature — Bird Wizard,4
Moon-Circuit Hacker,U,,common,Enchantment Creature — Human Ninja,4
Moonsnare Specialist,U,,common,Creature — Human Ninja,4
Network Disruptor,U,,common,Artifact Creature — Moonfolk Rogue,4
Prosperous Thief,U,,uncommon,Creature — Human Ninja,4
Towering-Wave Mystic,U,,common,Creature — Merfolk Wizard,1
Vexing Gull,U,,common,Creature — Bird,1
Midnight Assassin,B,,common,Creature — Vampire Assassin,1
Morkrut Necropod,B,,uncommon,Creature — Slug Horror,1
Virus Beetle,B,,common,Artifact Creature — Insect,4
Bloodfire Expert,R,,common,Creature — Efreet Monk,1
Resistance Skywarden,R,,uncommon,Creature — Ogre Rebel,1
Unstoppable Ogre,R,,common,Artifact Creature — Ogre Warrior,1
Ancient Greenwarden,G,,mythic,Creature — Elemental,1
Armored Kincaller,G,,common,Creature — Dinosaur,4
Heir of the Ancient Fang,G,,common,Creature — Snake Samurai,1
High-Rise Sawjack,G,,common,Creature — Elf Citizen,3
Llanowar Visionary,G,,common,Creature — Elf Druid,1
Oran-Rief Ooze,G,,rare,Creature — Ooze,1
Orochi Merge-Keeper,G,,uncommon,Creature — Snake Druid,1
Territorial Scythecat,G,,common,Creature — Cat,1
Topiary Stomper,G,,rare,Creature — Plant Dinosaur,2
